ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9933315,HY122571,01/20/2015 07:50:00 PM,003XX E GRAND AVE,0560,ASSAULT,SIMPLE,MOVIE HOUSE/THEATER,True,False,1834,18,42.0,8,08A,1178633.0,1903977.0,2015,02/10/2018 03:50:01 PM,41.891817777,-87.61940762,"(41.891817777, -87.61940762)"
9947210,HY135605,01/31/2015 10:00:00 AM,024XX N LINCOLN AVE,0820,THEFT,$500 AND UNDER,MOVIE HOUSE/THEATER,False,False,1935,19,43.0,7,06,1170282.0,1916412.0,2015,02/10/2018 03:50:01 PM,41.926126692,-87.649712868,"(41.926126692, -87.649712868)"
9954361,HY137042,01/31/2015 09:30:00 PM,011XX W LAWRENCE AVE,0460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,False,False,2033,20,46.0,3,08B,1167886.0,1932034.0,2015,08/17/2015 03:03:40 PM,41.969046206,-87.658064717,"(41.969046206, -87.658064717)"
9956603,HY145290,02/08/2015 07:00:00 PM,001XX N DEARBORN ST,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,111,1,42.0,32,06,1175910.0,1901569.0,2015,02/10/2018 03:50:01 PM,41.88527183,-87.629480401,"(41.88527183, -87.629480401)"
9958487,HY146764,02/02/2015 10:00:00 PM,002XX E RANDOLPH ST,0810,THEFT,OVER $500,MOVIE HOUSE/THEATER,False,False,114,1,42.0,32,06,1177944.0,1901223.0,2015,02/10/2018 03:50:01 PM,41.884276366,-87.622021816,"(41.884276366, -87.622021816)"
9958748,HY147250,02/10/2015 02:00:00 PM,055XX W HOMER ST,0820,THEFT,$500 AND UNDER,MOVIE HOUSE/THEATER,False,False,2515,25,29.0,25,06,1139159.0,1912150.0,2015,02/10/2018 03:50:01 PM,41.915055232,-87.76417995,"(41.915055232, -87.76417995)"
9962249,HY150981,02/13/2015 10:30:00 PM,010XX S DELANO CT E,0820,THEFT,$500 AND UNDER,MOVIE HOUSE/THEATER,True,False,123,1,2.0,32,06,1175166.0,1895507.0,2015,02/10/2018 03:50:01 PM,41.868654042,-87.632394269,"(41.868654042, -87.632394269)"
9962862,HY152037,02/14/2015 11:30:00 PM,026XX N WESTERN AVE,1330,CRIMINAL TRESPASS,TO LAND,MOVIE HOUSE/THEATER,True,False,1411,14,1.0,22,26,1159915.0,1917314.0,2015,02/10/2018 03:50:01 PM,41.928822325,-87.687781609,"(41.928822325, -87.687781609)"
9963759,HY153232,02/14/2015 11:30:00 PM,040XX N MILWAUKEE AVE,0870,THEFT,POCKET-PICKING,MOVIE HOUSE/THEATER,False,False,1624,16,45.0,15,06,1143297.0,1926444.0,2015,02/10/2018 03:50:01 PM,41.954202988,-87.748619056,"(41.954202988, -87.748619056)"
9969950,HY159619,02/21/2015 08:00:00 PM,026XX N WESTERN AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,MOVIE HOUSE/THEATER,False,False,1411,14,1.0,22,04B,1159915.0,1917314.0,2015,02/10/2018 03:50:01 PM,41.928822325,-87.687781609,"(41.928822325, -87.687781609)"
9962847,HY151978,02/14/2015 10:02:00 PM,055XX W HOMER ST,1330,CRIMINAL TRESPASS,TO LAND,MOVIE HOUSE/THEATER,True,False,2515,25,29.0,25,26,1139159.0,1912150.0,2015,08/17/2015 03:03:40 PM,41.915055232,-87.76417995,"(41.915055232, -87.76417995)"
9971877,HY161601,02/23/2015 01:30:00 PM,002XX W 87TH ST,0460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,False,False,622,6,21.0,44,08B,1176467.0,1847230.0,2015,02/10/2018 03:50:01 PM,41.736148121,-87.629070243,"(41.736148121, -87.629070243)"
9977361,HY166468,02/27/2015 01:30:00 PM,002XX S MICHIGAN AVE,0870,THEFT,POCKET-PICKING,MOVIE HOUSE/THEATER,False,False,113,1,42.0,32,06,1177328.0,1899333.0,2015,02/10/2018 03:50:01 PM,41.879104092,-87.62434115,"(41.879104092, -87.62434115)"
9977379,HY166473,02/27/2015 10:08:00 PM,076XX S CICERO AVE,1330,CRIMINAL TRESPASS,TO LAND,MOVIE HOUSE/THEATER,True,False,833,8,13.0,65,26,1145727.0,1853720.0,2015,02/10/2018 03:50:01 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
9979313,HY168434,03/01/2015 06:45:00 PM,055XX W HOMER ST,0820,THEFT,$500 AND UNDER,MOVIE HOUSE/THEATER,False,False,2515,25,29.0,25,06,1139159.0,1912150.0,2015,02/10/2018 03:50:01 PM,41.915055232,-87.76417995,"(41.915055232, -87.76417995)"
