ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10225121,HY412189,09/05/2015 11:55:00 PM,003XX W 59TH PL,1661,GAMBLING,GAME/DICE,SIDEWALK,True,False,711,7,20.0,68,19,1175158.0,1865501.0,2015,02/10/2018 03:50:01 PM,41.78631519,-87.63332122,"(41.78631519, -87.63332122)"
10225490,HY412665,09/06/2015 11:44:00 AM,064XX S LOWE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,True,False,723,7,20.0,68,19,1173143.0,1862230.0,2015,02/10/2018 03:50:01 PM,41.77738398,-87.64080579,"(41.77738398, -87.64080579)"
10225849,HY413216,09/06/2015 08:45:00 PM,015XX S HARDING AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,True,False,1014,10,24.0,29,19,1150300.0,1892132.0,2015,02/10/2018 03:50:01 PM,41.859913531,-87.723771229,"(41.859913531, -87.723771229)"
10225887,HY413287,09/06/2015 10:05:00 PM,012XX S AVERS AVE,1651,GAMBLING,GAME/CARDS,SIDEWALK,True,False,1011,10,24.0,29,19,1150906.0,1894180.0,2015,02/10/2018 03:50:01 PM,41.865521655,-87.721493176,"(41.865521655, -87.721493176)"
10226631,HY414150,09/07/2015 03:35:00 PM,052XX W CRYSTAL ST,1661,GAMBLING,GAME/DICE,SIDEWALK,True,False,2532,25,37.0,25,19,1141110.0,1907821.0,2015,02/10/2018 03:50:01 PM,41.903140216,-87.757118943,"(41.903140216, -87.757118943)"
10227003,HY414670,09/08/2015 12:19:00 AM,057XX S MAY ST,1661,GAMBLING,GAME/DICE,SIDEWALK,True,False,712,7,16.0,68,19,1169630.0,1866784.0,2015,02/10/2018 03:50:01 PM,41.789957607,-87.65355243,"(41.789957607, -87.65355243)"
10229801,HY417170,09/09/2015 06:53:00 PM,070XX S BISHOP ST,1661,GAMBLING,GAME/DICE,SIDEWALK,True,False,734,7,17.0,67,19,1167885.0,1858019.0,2015,02/10/2018 03:50:01 PM,41.765943035,-87.660202417,"(41.765943035, -87.660202417)"
10229821,HY417176,09/09/2015 06:45:00 PM,0000X W 69TH ST,1661,GAMBLING,GAME/DICE,CTA BUS STOP,True,False,731,7,6.0,69,19,1177279.0,1859276.0,2015,02/10/2018 03:50:01 PM,41.769185486,-87.625732415,"(41.769185486, -87.625732415)"
10232058,HY419722,09/11/2015 08:05:00 PM,041XX W WEST END AVE,1661,GAMBLING,GAME/DICE,PARK PROPERTY,True,False,1114,11,28.0,26,19,1148833.0,1900653.0,2015,02/10/2018 03:50:01 PM,41.883324606,-87.728935993,"(41.883324606, -87.728935993)"
10233973,HY422360,09/14/2015 01:03:00 AM,064XX S LOWE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,True,False,723,7,16.0,68,19,1173143.0,1862237.0,2015,02/10/2018 03:50:01 PM,41.777403189,-87.640805584,"(41.777403189, -87.640805584)"
